"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\circles_background\intro_circles_background.dart", "Dart", 85, 0, 8, 93
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\circles_background\main_circles_background.dart", "Dart", 66, 0, 7, 73
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\copyright.dart", "Dart", 51, 1, 3, 55
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\diamond_bottom_bar.dart", "Dart", 230, 0, 10, 240
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\mood-chacker\gen\assets.gen.dart", "Dart", 118, 8, 12, 138
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\mood-chacker\src\flutter_emoji_feedback.dart", "Dart", 166, 58, 29, 253
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\mood-chacker\src\models\emoji_model.dart", "Dart", 10, 0, 2, 12
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\mood-chacker\src\presets.dart", "Dart", 90, 1, 5, 96
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\page_transition\page_transition.dart", "Dart", 3, 0, 2, 5
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\page_transition\src\enum.dart", "Dart", 21, 20, 34, 75
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\page_transition\src\page_transition.dart", "Dart", 468, 46, 57, 571
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\rounded_loading_button.dart", "Dart", 286, 40, 69, 395
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\snackbar.dart", "Dart", 46, 0, 2, 48
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\customization\calendar_builders.dart", "Dart", 45, 37, 23, 105
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\customization\calendar_style.dart", "Dart", 130, 81, 50, 261
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\customization\days_of_week_style.dart", "Dart", 14, 15, 8, 37
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\customization\header_style.dart", "Dart", 48, 38, 23, 109
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\shared\utils.dart", "Dart", 28, 15, 12, 55
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\table_calendar.dart", "Dart", 565, 92, 124, 781
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\table_calendar_base.dart", "Dart", 298, 2, 49, 349
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\widgets\calendar_core.dart", "Dart", 275, 2, 44, 321
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\widgets\calendar_header.dart", "Dart", 90, 2, 7, 99
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\widgets\calendar_page.dart", "Dart", 85, 2, 10, 97
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\widgets\cell_content.dart", "Dart", 165, 2, 11, 178
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\widgets\custom_icon_button.dart", "Dart", 39, 2, 6, 47
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\src\widgets\format_button.dart", "Dart", 57, 2, 11, 70
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\table_calendar\table_calendar.dart", "Dart", 7, 2, 2, 11
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\undraw\lib\illustrations.g.dart", "Dart", 2865, 4120, 1374, 8359
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\undraw\lib\ms_undraw.dart", "Dart", 89, 44, 21, 154
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\undraw\script\model.dart", "Dart", 79, 0, 15, 94
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\undraw\script\update_illustrations.dart", "Dart", 161, 7, 28, 196
"Total", "-", 12161, 4744, 2568, 19473
